ip;network-operator;router vendor;model version;firmware version;successful protocols;Geo;AS-Number;BGP-Prefix;Org
103.10.208.239;;;;;http8080,ssh;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.241;;;Linux TL-R600VPN 3.3.8 #1 Fri Jan 26 15:08:30 CST 2018 mips;;http8080,https443,snmp;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.242;;;;;http80;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.34;;Mikrotik;x86;RouterOS;snmp;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.44;;;;;http80,https443,ssh;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.6;;Mikrotik;x86;RouterOS;snmp;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.211.129;;Mikrotik;x86;RouterOS;snmp;IND;45804.0;103.10.211.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.231.121;;Mikrotik;RB1100x4;RouterOS;snmp;THA;131090.0;103.10.231.0/24;CAT-IDC-4BYTENET-AS-AP CAT TELECOM Public Company Ltd,CAT
103.10.81.34;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp;IDN;56245.0;103.10.81.0/24;FAJAR-AS-ID PT Fajar Techno System
103.100.20.101;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.103;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.105;;;;;http80,http8080,https443;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.109;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.119;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.125;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.126;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.127;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.129;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.135;;;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.136;;;;;http80,https443;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.137;;;;;http80,https443,ssh;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.142;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.143;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.145;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.15;;;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.150;;;;;http80,https443;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.157;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.162;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.165;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.171;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.180;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.191;;;;;http8080,https443;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.192;;;;;http8080,https443;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.227;;;;;http80,http8080,https443,ssh;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.228;;;;;http80,http8080;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.230;;;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.236;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.239;;;;;http80,http8080,https443;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
103.100.20.241;;Hikvision;;;http80;IND;153211.0;103.100.20.0/24;CDPE-AS-IN C.d. Palace And Electronics
